"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Washburn University","Kansas","KS","Public","4 Year",8237,8870,17107,19940,28177,6722,12,47000,83000,54,4,3957,39,76,327,465,6,4207,220,1138,244,1133
"Washington & Jefferson College","Pennsylvania","PA","Private","4 Year",12676,47964,60640,47964,60640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Adventist University","Maryland","MD","Private","4 Year",9370,23900,33270,23900,33270,NA,10,55600,97600,63,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington and Lee University","Virginia","VA","Private","4 Year",13925,52455,66380,52455,66380,NA,1,65900,123200,40,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington College","Maryland","MD","Private","4 Year",12414,46978,59392,46978,59392,NA,14,52800,93500,55,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Community College","Maine","ME","Public","2 Year",5340,3618,8958,6438,11778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington State Community College","Ohio","OH","Public","2 Year",NA,4736,4736,4766,4766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington State University","Washington","WA","Public","4 Year",11398,11581,22979,26365,37763,28686,5,55900,103700,50,20,14728,169,1497,896,3077,100,18000,1863,1138,1946,7602
"Washington University in St. Louis","Missouri","MO","Private","4 Year",16440,53399,69839,53399,69839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washtenaw Community College","Michigan","MI","Public","2 Year",NA,3150,3150,6900,6900,12295,NA,NA,NA,NA,NA,6407,61,415,2027,716,26,7868,536,391,255,3781
"Watkins College of Art, Design & Film","Tennessee","TN","Private","4 Year",6750,24450,31200,24450,31200,304,NA,NA,NA,NA,NA,163,3,5,41,14,1,215,18,3,4,82
"Waubonsee Community College","Illinois","IL","Public","2 Year",NA,4080,4080,11295,11295,10904,NA,NA,NA,NA,NA,6133,10,353,757,3773,3,5452,216,340,0,5112
"Waukesha County Technical College","Wisconsin","WI","Public","2 Year",NA,4268,4268,6281,6281,8692,NA,NA,NA,NA,NA,4046,49,233,585,486,14,6947,182,192,4,1549
"Wayland Baptist University","Texas","TX","Private","4 Year",7992,20070,28062,20070,28062,5536,NA,NA,NA,NA,NA,2756,50,117,888,1415,44,2557,213,198,54,2727
"Wayne Community College","North Carolina","NC","Public","2 Year",NA,2524,2524,8668,8668,3351,NA,NA,NA,NA,NA,2000,22,62,786,318,9,2056,31,40,27,1228
"Wayne County Community College","Michigan","MI","Public","2 Year",NA,4970,4970,6851,6851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wayne State College","Nebraska","NE","Public","4 Year",7668,6989,14657,12299,19967,3470,18,40600,73400,54,11,1990,25,19,95,229,2,2734,55,293,18,425
"Wayne State University","Michigan","MI","Public","4 Year",10427,13347,23774,28241,38668,27578,12,50800,91700,53,21,15409,82,2057,4881,983,35,15004,689,1572,2275,8727
